"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","2'-5'-oligoadenylate synthetase activity","GO:0001730","9.960522420418566e-8","7.001717882624999","12","547","8","21091","ENSMUSG00000029605,ENSMUSG00000001166,ENSMUSG00000032690,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000029561,ENSMUSG00000041827,ENSMUSG00000032661"
"GO:MF","oxidoreductase activity","GO:0016491","2.3027040674529818e-7","6.637761871905652","831","547","55","21091","ENSMUSG00000052217,ENSMUSG00000081044,ENSMUSG00000055609,ENSMUSG00000071551,ENSMUSG00000029445,ENSMUSG00000024087,ENSMUSG00000030088,ENSMUSG00000024055,ENSMUSG00000054757,ENSMUSG00000027261,ENSMUSG00000052974,ENSMUSG00000021210,ENSMUSG00000056035,ENSMUSG00000022129,ENSMUSG00000074207,ENSMUSG00000023963,ENSMUSG00000015134,ENSMUSG00000016194,ENSMUSG00000033684,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000005514,ENSMUSG00000028186,ENSMUSG00000075707,ENSMUSG00000040134,ENSMUSG00000027869,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000022096,ENSMUSG00000052131,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074639,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000021214,ENSMUSG00000055301,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000025396,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008"
"GO:MF","catalytic activity","GO:0003824","6.87943458744607e-7","6.162447254445136","5913","547","219","21091","ENSMUSG00000031383,ENSMUSG00000052217,ENSMUSG00000027559,ENSMUSG00000079259,ENSMUSG00000081044,ENSMUSG00000099913,ENSMUSG00000070704,ENSMUSG00000020080,ENSMUSG00000021228,ENSMUSG00000055609,ENSMUSG00000031883,ENSMUSG00000025665,ENSMUSG00000116203,ENSMUSG00000045291,ENSMUSG00000071551,ENSMUSG00000028331,ENSMUSG00000056643,ENSMUSG00000040265,ENSMUSG00000025175,ENSMUSG00000073400,ENSMUSG00000015127,ENSMUSG00000037904,ENSMUSG00000020309,ENSMUSG00000050860,ENSMUSG00000071470,ENSMUSG00000052392,ENSMUSG00000029445,ENSMUSG00000024087,ENSMUSG00000035208,ENSMUSG00000115953,ENSMUSG00000036040,ENSMUSG00000071633,ENSMUSG00000063683,ENSMUSG00000022040,ENSMUSG00000045211,ENSMUSG00000030088,ENSMUSG00000038587,ENSMUSG00000034422,ENSMUSG00000040253,ENSMUSG00000035042,ENSMUSG00000027048,ENSMUSG00000006344,ENSMUSG00000024055,ENSMUSG00000037321,ENSMUSG00000070811,ENSMUSG00000033508,ENSMUSG00000034837,ENSMUSG00000057103,ENSMUSG00000025473,ENSMUSG00000025509,ENSMUSG00000052749,ENSMUSG00000021340,ENSMUSG00000054757,ENSMUSG00000002228,ENSMUSG00000021876,ENSMUSG00000079363,ENSMUSG00000092021,ENSMUSG00000058022,ENSMUSG00000027261,ENSMUSG00000041828,ENSMUSG00000033538,ENSMUSG00000021420,ENSMUSG00000000386,ENSMUSG00000040809,ENSMUSG00000024589,ENSMUSG00000033825,ENSMUSG00000022629,ENSMUSG00000032349,ENSMUSG00000063446,ENSMUSG00000042638,ENSMUSG00000029403,ENSMUSG00000021364,ENSMUSG00000024131,ENSMUSG00000052974,ENSMUSG00000063760,ENSMUSG00000024042,ENSMUSG00000022468,ENSMUSG00000037580,ENSMUSG00000028307,ENSMUSG00000029605,ENSMUSG00000021210,ENSMUSG00000025481,ENSMUSG00000056035,ENSMUSG00000025533,ENSMUSG00000022129,ENSMUSG00000034765,ENSMUSG00000025964,ENSMUSG00000031886,ENSMUSG00000000739,ENSMUSG00000055401,ENSMUSG00000020363,ENSMUSG00000001166,ENSMUSG00000028268,ENSMUSG00000074207,ENSMUSG00000023963,ENSMUSG00000070327,ENSMUSG00000028370,ENSMUSG00000015134,ENSMUSG00000016194,ENSMUSG00000033684,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000032908,ENSMUSG00000075590,ENSMUSG00000020431,ENSMUSG00000037798,ENSMUSG00000015437,ENSMUSG00000041798,ENSMUSG00000032690,ENSMUSG00000005514,ENSMUSG00000019987,ENSMUSG00000064247,ENSMUSG00000021125,ENSMUSG00000073555,ENSMUSG00000028186,ENSMUSG00000033107,ENSMUSG00000017830,ENSMUSG00000031286,ENSMUSG00000038763,ENSMUSG00000075707,ENSMUSG00000024900,ENSMUSG00000022615,ENSMUSG00000026272,ENSMUSG00000030643,ENSMUSG00000072115,ENSMUSG00000034472,ENSMUSG00000028862,ENSMUSG00000040213,ENSMUSG00000040134,ENSMUSG00000052373,ENSMUSG00000019278,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000027869,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028214,ENSMUSG00000031722,ENSMUSG00000019577,ENSMUSG00000029273,ENSMUSG00000030107,ENSMUSG00000030739,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000000301,ENSMUSG00000022514,ENSMUSG00000057400,ENSMUSG00000023067,ENSMUSG00000020593,ENSMUSG00000069805,ENSMUSG00000029561,ENSMUSG00000042010,ENSMUSG00000025991,ENSMUSG00000020010,ENSMUSG00000014453,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000015085,ENSMUSG00000103711,ENSMUSG00000019970,ENSMUSG00000034780,ENSMUSG00000023341,ENSMUSG00000022096,ENSMUSG00000071350,ENSMUSG00000050578,ENSMUSG00000024388,ENSMUSG00000075543,ENSMUSG00000020641,ENSMUSG00000041827,ENSMUSG00000049971,ENSMUSG00000052131,ENSMUSG00000029727,ENSMUSG00000075256,ENSMUSG00000002588,ENSMUSG00000028712,ENSMUSG00000024254,ENSMUSG00000025190,ENSMUSG00000074639,ENSMUSG00000061825,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000052520,ENSMUSG00000028680,ENSMUSG00000040505,ENSMUSG00000090877,ENSMUSG00000021214,ENSMUSG00000055301,ENSMUSG00000020122,ENSMUSG00000068086,ENSMUSG00000078921,ENSMUSG00000078922,ENSMUSG00000032661,ENSMUSG00000054072,ENSMUSG00000029597,ENSMUSG00000019232,ENSMUSG00000054417,ENSMUSG00000078964,ENSMUSG00000091971,ENSMUSG00000075551,ENSMUSG00000035780,ENSMUSG00000037686,ENSMUSG00000066071,ENSMUSG00000060317,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000069922,ENSMUSG00000115886,ENSMUSG00000025479,ENSMUSG00000025396,ENSMUSG00000069668,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000001670,ENSMUSG00000028715,ENSMUSG00000078650,ENSMUSG00000092008,ENSMUSG00000027513,ENSMUSG00000089960"
"GO:MF","transition metal ion binding","GO:0046914","0.000003745484152120434","5.42649203617439","1076","547","62","21091","ENSMUSG00000047686,ENSMUSG00000027559,ENSMUSG00000079259,ENSMUSG00000055609,ENSMUSG00000031883,ENSMUSG00000072437,ENSMUSG00000073400,ENSMUSG00000024087,ENSMUSG00000035208,ENSMUSG00000115953,ENSMUSG00000024055,ENSMUSG00000025473,ENSMUSG00000052749,ENSMUSG00000056144,ENSMUSG00000024140,ENSMUSG00000028150,ENSMUSG00000052974,ENSMUSG00000037580,ENSMUSG00000056035,ENSMUSG00000026193,ENSMUSG00000074207,ENSMUSG00000023963,ENSMUSG00000052914,ENSMUSG00000060613,ENSMUSG00000019987,ENSMUSG00000021125,ENSMUSG00000033107,ENSMUSG00000017830,ENSMUSG00000023034,ENSMUSG00000072115,ENSMUSG00000019278,ENSMUSG00000033022,ENSMUSG00000062624,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000070419,ENSMUSG00000032310,ENSMUSG00000015224,ENSMUSG00000005677,ENSMUSG00000071350,ENSMUSG00000050578,ENSMUSG00000029727,ENSMUSG00000028712,ENSMUSG00000074254,ENSMUSG00000029630,ENSMUSG00000022877,ENSMUSG00000052520,ENSMUSG00000055301,ENSMUSG00000068086,ENSMUSG00000054417,ENSMUSG00000075551,ENSMUSG00000066071,ENSMUSG00000050440,ENSMUSG00000025004,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000042248,ENSMUSG00000028715,ENSMUSG00000092008,ENSMUSG00000032080,ENSMUSG00000027513"
"GO:MF","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","GO:0016709","0.000011839048456833889","4.9266832018827795","54","547","12","21091","ENSMUSG00000071551,ENSMUSG00000054757,ENSMUSG00000021210,ENSMUSG00000005514,ENSMUSG00000028240,ENSMUSG00000026170,ENSMUSG00000028712,ENSMUSG00000021214,ENSMUSG00000066071,ENSMUSG00000063929,ENSMUSG00000025479,ENSMUSG00000066072"
"GO:MF","testosterone 6-beta-hydroxylase activity","GO:0050649","0.00002637840236647655","4.578751511459652","9","547","6","21091","ENSMUSG00000056035,ENSMUSG00000070419,ENSMUSG00000029727,ENSMUSG00000029630,ENSMUSG00000054417,ENSMUSG00000075551"
"GO:MF","identical protein binding","GO:0042802","0.0001402286108424896","3.8531633682285675","2143","547","95","21091","ENSMUSG00000051159,ENSMUSG00000091898,ENSMUSG00000013523,ENSMUSG00000024411,ENSMUSG00000028435,ENSMUSG00000040265,ENSMUSG00000028645,ENSMUSG00000020932,ENSMUSG00000006586,ENSMUSG00000071470,ENSMUSG00000024663,ENSMUSG00000030041,ENSMUSG00000024580,ENSMUSG00000021756,ENSMUSG00000035799,ENSMUSG00000022040,ENSMUSG00000021253,ENSMUSG00000021835,ENSMUSG00000035042,ENSMUSG00000051379,ENSMUSG00000027456,ENSMUSG00000048534,ENSMUSG00000027863,ENSMUSG00000037321,ENSMUSG00000017009,ENSMUSG00000011305,ENSMUSG00000052749,ENSMUSG00000026536,ENSMUSG00000041548,ENSMUSG00000004951,ENSMUSG00000037942,ENSMUSG00000033860,ENSMUSG00000043263,ENSMUSG00000054203,ENSMUSG00000036151,ENSMUSG00000060961,ENSMUSG00000063919,ENSMUSG00000014813,ENSMUSG00000006930,ENSMUSG00000037580,ENSMUSG00000038260,ENSMUSG00000028307,ENSMUSG00000024401,ENSMUSG00000026193,ENSMUSG00000025533,ENSMUSG00000028268,ENSMUSG00000074207,ENSMUSG00000026628,ENSMUSG00000055976,ENSMUSG00000015134,ENSMUSG00000016194,ENSMUSG00000037798,ENSMUSG00000019987,ENSMUSG00000052684,ENSMUSG00000026278,ENSMUSG00000022900,ENSMUSG00000024900,ENSMUSG00000037849,ENSMUSG00000022615,ENSMUSG00000026272,ENSMUSG00000072115,ENSMUSG00000040213,ENSMUSG00000070473,ENSMUSG00000026365,ENSMUSG00000018930,ENSMUSG00000066677,ENSMUSG00000031722,ENSMUSG00000018168,ENSMUSG00000037583,ENSMUSG00000073491,ENSMUSG00000069805,ENSMUSG00000042010,ENSMUSG00000015085,ENSMUSG00000066687,ENSMUSG00000000296,ENSMUSG00000072849,ENSMUSG00000035686,ENSMUSG00000026542,ENSMUSG00000074971,ENSMUSG00000024863,ENSMUSG00000027514,ENSMUSG00000057722,ENSMUSG00000044748,ENSMUSG00000037035,ENSMUSG00000002588,ENSMUSG00000062488,ENSMUSG00000055301,ENSMUSG00000033717,ENSMUSG00000020122,ENSMUSG00000074896,ENSMUSG00000054072,ENSMUSG00000029597,ENSMUSG00000001670,ENSMUSG00000032080,ENSMUSG00000089960"
"GO:MF","estrogen 16-alpha-hydroxylase activity","GO:0101020","0.00027146760597490606","3.5662819870169615","12","547","6","21091","ENSMUSG00000024087,ENSMUSG00000056035,ENSMUSG00000032310,ENSMUSG00000029727,ENSMUSG00000054417,ENSMUSG00000075551"
"GO:BP","response to other organism","GO:0051707","7.042764826192428e-25","24.15225681343816","1584","551","122","21354","ENSMUSG00000051159,ENSMUSG00000027559,ENSMUSG00000022149,ENSMUSG00000024411,ENSMUSG00000073400,ENSMUSG00000078452,ENSMUSG00000035208,ENSMUSG00000115953,ENSMUSG00000038587,ENSMUSG00000034422,ENSMUSG00000040253,ENSMUSG00000022122,ENSMUSG00000035042,ENSMUSG00000006344,ENSMUSG00000038576,ENSMUSG00000037321,ENSMUSG00000025473,ENSMUSG00000074743,ENSMUSG00000052749,ENSMUSG00000026536,ENSMUSG00000046718,ENSMUSG00000026405,ENSMUSG00000028001,ENSMUSG00000004951,ENSMUSG00000062515,ENSMUSG00000079363,ENSMUSG00000092021,ENSMUSG00000033538,ENSMUSG00000032053,ENSMUSG00000037942,ENSMUSG00000033860,ENSMUSG00000043263,ENSMUSG00000044786,ENSMUSG00000054203,ENSMUSG00000030247,ENSMUSG00000021356,ENSMUSG00000033831,ENSMUSG00000020108,ENSMUSG00000037580,ENSMUSG00000057135,ENSMUSG00000029605,ENSMUSG00000024401,ENSMUSG00000056035,ENSMUSG00000037944,ENSMUSG00000030144,ENSMUSG00000001166,ENSMUSG00000028268,ENSMUSG00000076617,ENSMUSG00000079339,ENSMUSG00000075602,ENSMUSG00000015437,ENSMUSG00000032690,ENSMUSG00000019987,ENSMUSG00000021125,ENSMUSG00000034855,ENSMUSG00000033107,ENSMUSG00000052684,ENSMUSG00000017830,ENSMUSG00000000204,ENSMUSG00000025492,ENSMUSG00000037849,ENSMUSG00000023034,ENSMUSG00000033355,ENSMUSG00000072115,ENSMUSG00000074151,ENSMUSG00000026365,ENSMUSG00000073418,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000018930,ENSMUSG00000066677,ENSMUSG00000031722,ENSMUSG00000027398,ENSMUSG00000030107,ENSMUSG00000018168,ENSMUSG00000029380,ENSMUSG00000022514,ENSMUSG00000073491,ENSMUSG00000057400,ENSMUSG00000029561,ENSMUSG00000025991,ENSMUSG00000014453,ENSMUSG00000030236,ENSMUSG00000032310,ENSMUSG00000025498,ENSMUSG00000023341,ENSMUSG00000035686,ENSMUSG00000026542,ENSMUSG00000051439,ENSMUSG00000079017,ENSMUSG00000029417,ENSMUSG00000035385,ENSMUSG00000024863,ENSMUSG00000027514,ENSMUSG00000020641,ENSMUSG00000041827,ENSMUSG00000044748,ENSMUSG00000021250,ENSMUSG00000034459,ENSMUSG00000029630,ENSMUSG00000022877,ENSMUSG00000024673,ENSMUSG00000026358,ENSMUSG00000062488,ENSMUSG00000055301,ENSMUSG00000074896,ENSMUSG00000028037,ENSMUSG00000078921,ENSMUSG00000066363,ENSMUSG00000078922,ENSMUSG00000032661,ENSMUSG00000035692,ENSMUSG00000054072,ENSMUSG00000037095,ENSMUSG00000075551,ENSMUSG00000050440,ENSMUSG00000115886,ENSMUSG00000005268,ENSMUSG00000025479,ENSMUSG00000032080,ENSMUSG00000027513,ENSMUSG00000089960"
"GO:BP","response to external biotic stimulus","GO:0043207","8.390438461589376e-25","24.076215343524904","1587","551","122","21354","ENSMUSG00000051159,ENSMUSG00000027559,ENSMUSG00000022149,ENSMUSG00000024411,ENSMUSG00000073400,ENSMUSG00000078452,ENSMUSG00000035208,ENSMUSG00000115953,ENSMUSG00000038587,ENSMUSG00000034422,ENSMUSG00000040253,ENSMUSG00000022122,ENSMUSG00000035042,ENSMUSG00000006344,ENSMUSG00000038576,ENSMUSG00000037321,ENSMUSG00000025473,ENSMUSG00000074743,ENSMUSG00000052749,ENSMUSG00000026536,ENSMUSG00000046718,ENSMUSG00000026405,ENSMUSG00000028001,ENSMUSG00000004951,ENSMUSG00000062515,ENSMUSG00000079363,ENSMUSG00000092021,ENSMUSG00000033538,ENSMUSG00000032053,ENSMUSG00000037942,ENSMUSG00000033860,ENSMUSG00000043263,ENSMUSG00000044786,ENSMUSG00000054203,ENSMUSG00000030247,ENSMUSG00000021356,ENSMUSG00000033831,ENSMUSG00000020108,ENSMUSG00000037580,ENSMUSG00000057135,ENSMUSG00000029605,ENSMUSG00000024401,ENSMUSG00000056035,ENSMUSG00000037944,ENSMUSG00000030144,ENSMUSG00000001166,ENSMUSG00000028268,ENSMUSG00000076617,ENSMUSG00000079339,ENSMUSG00000075602,ENSMUSG00000015437,ENSMUSG00000032690,ENSMUSG00000019987,ENSMUSG00000021125,ENSMUSG00000034855,ENSMUSG00000033107,ENSMUSG00000052684,ENSMUSG00000017830,ENSMUSG00000000204,ENSMUSG00000025492,ENSMUSG00000037849,ENSMUSG00000023034,ENSMUSG00000033355,ENSMUSG00000072115,ENSMUSG00000074151,ENSMUSG00000026365,ENSMUSG00000073418,ENSMUSG00000052776,ENSMUSG00000066861,ENSMUSG00000018930,ENSMUSG00000066677,ENSMUSG00000031722,ENSMUSG00000027398,ENSMUSG00000030107,ENSMUSG00000018168,ENSMUSG00000029380,ENSMUSG00000022514,ENSMUSG00000073491,ENSMUSG00000057400,ENSMUSG00000029561,ENSMUSG00000025991,ENSMUSG00000014453,ENSMUSG00000030236,ENSMUSG00000032310,ENSMUSG00000025498,ENSMUSG00000023341,ENSMUSG00000035686,ENSMUSG00000026542,ENSMUSG00000051439,ENSMUSG00000079017,ENSMUSG00000029417,ENSMUSG00000035385,ENSMUSG00000024863,ENSMUSG00000027514,ENSMUSG00000020641,ENSMUSG00000041827,ENSMUSG00000044748,ENSMUSG00000021250,ENSMUSG00000034459,ENSMUSG00000029630,ENSMUSG00000022877,ENSMUSG00000024673,ENSMUSG00000026358,ENSMUSG00000062488,ENSMUSG00000055301,ENSMUSG00000074896,ENSMUSG00000028037,ENSMUSG00000078921,ENSMUSG00000066363,ENSMUSG00000078922,ENSMUSG00000032661,ENSMUSG00000035692,ENSMUSG00000054072,ENSMUSG00000037095,ENSMUSG00000075551,ENSMUSG00000050440,ENSMUSG00000115886,ENSMUSG00000005268,ENSMUSG00000025479,ENSMUSG00000032080,ENSMUSG00000027513,ENSMUSG00000089960"
