target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000031849,Comp,0.001163806,-1.124024815,38.5416809,22.09369586,21.94142136,36.05361283,21.53377104,12.5454869,4.472175478,18.01512193,4.372125211,9.37517166
ENSMUSG00000054757,Akr1c20,0.018951287,-1.126472981,65.94372748,55.19387704,89.29945455,96.32119503,80.4912811,25.67965744,6.44406057,34.28717154,20.43672597,69.95851736
ENSMUSG00000004951,Hspb1,3.70E-05,-1.128024103,72.73220858,104.8150479,47.7535458,76.82804848,106.3150129,24.60661917,13.84765291,38.1658222,37.09563236,20.35375099
ENSMUSG00000062515,Fabp4,0.001052756,-1.129894621,2885.152491,1899.531687,1482.367022,3212.316488,2487.966239,1031.739294,428.9438396,1375.106558,378.9146617,988.2685543
ENSMUSG00000078763,Slfn1,0.00031164,-1.129898575,59.30495042,48.87707215,24.51133854,55.06142313,50.10004651,17.06918956,6.204949153,23.49500023,18.20666959,13.32024203
ENSMUSG00000115913,Slfn1,0.00031164,-1.129898575,59.30495042,48.87707215,24.51133854,55.06142313,50.10004651,17.06918956,6.204949153,23.49500023,18.20666959,13.32024203
ENSMUSG00000115940,Slfn1,0.00031164,-1.129898575,59.30495042,48.87707215,24.51133854,55.06142313,50.10004651,17.06918956,6.204949153,23.49500023,18.20666959,13.32024203
ENSMUSG00000002228,Ppm1j,0.037485024,-1.134505067,7.971764165,6.13182386,6.368162805,6.077451628,7.030517128,0.557137354,1.128150056,1.549699636,5.919509536,2.402455123
ENSMUSG00000027954,Efna1,0.000663286,-1.135074906,534.383451,697.6807879,481.6478023,546.1583936,703.7308859,271.496732,85.23640679,371.1615226,115.6659009,235.601781
ENSMUSG00000021876,Rnase4,1.99E-05,-1.135894878,650.1976038,1134.498052,395.4449313,768.2592064,1161.157805,236.5241995,232.0401786,235.5027092,375.3646595,181.9206903
ENSMUSG00000034463,Scara3,0.008723683,-1.13605422,37.34015397,42.57035316,22.06020468,42.01218412,30.29305138,12.56034703,2.939186441,13.38322798,26.7745141,9.157666399
ENSMUSG00000079363,Gbp4,7.91E-05,-1.137443691,23.47163349,36.70971409,11.90763542,23.43178502,46.37252067,6.781687677,6.707422454,11.90559432,7.772508975,7.311635081
ENSMUSG00000092021,Gbp11,0.014294582,-1.138949946,11.31399006,17.81892783,10.17271417,9.187734297,8.653216049,3.166647216,2.893802315,2.006860181,2.338911699,7.279136905
ENSMUSG00000089991,Gm16332,0.035470859,-1.139429966,3.703990158,14.28234158,6.109737396,5.255281985,15.32440989,1.115498755,1.122423709,5.832780815,4.812112859,0.923671741
ENSMUSG00000058022,Adtrp,0.002984092,-1.13964097,207.2022452,178.6196063,154.3395112,245.5499834,214.5309785,106.9005922,20.42027762,96.185262,47.3165718,97.85098706
ENSMUSG00000027261,Hao1,0.019850694,-1.13990454,961.5036603,578.9345746,520.548559,941.9265475,600.4096128,254.5665497,56.62552339,338.7180677,205.5048235,540.2601383
ENSMUSG00000041828,Abca8a,0.000590035,-1.140866993,191.4591571,134.662411,160.6332302,228.0611706,133.0555833,75.72522344,33.35257249,97.6582043,23.79403667,68.59339131
ENSMUSG00000033538,Casp4,0.000665533,-1.142673397,28.10507425,43.53515792,16.69957824,41.39702006,66.54695796,5.42641914,14.93180491,13.56416598,11.13363032,12.92766704
ENSMUSG00000032053,Pou2af1,3.28E-05,-1.143791109,306.0877529,280.6009321,126.9925245,269.7757092,267.2025239,75.72306637,40.19801505,86.04588297,80.00431964,120.2605866
ENSMUSG00000107437,Gm5340,0.001032269,-1.144143824,43.380473,40.79658845,20.68144189,46.30888477,46.02213575,13.52652757,5.388508475,14.27544318,8.032354229,25.80796894
ENSMUSG00000108105,Gm5340,0.001032269,-1.144143824,43.380473,40.79658845,20.68144189,46.30888477,46.02213575,13.52652757,5.388508475,14.27544318,8.032354229,25.80796894
ENSMUSG00000041930,Fam222a,0.006329551,-1.145630681,74.99527455,145.9697851,23.27752987,76.09988851,148.9983015,18.62665522,30.66083388,19.39943607,28.36865378,28.10738287
ENSMUSG00000037942,Crp,3.09E-06,-1.146028922,4136.730956,3188.29036,3546.836175,4326.557848,3343.116849,1209.218586,573.9534451,1662.483532,1041.290286,1825.369186
ENSMUSG00000021420,Fars2,3.67E-06,-1.148788226,287.9987037,262.8445104,116.4488069,389.1391367,324.5431163,82.14171925,65.79434338,80.66672948,94.24914885,85.02170667
ENSMUSG00000033860,Fgg,4.05E-06,-1.152447833,77870.53261,91591.34279,69275.93054,81355.49662,98680.5927,31562.51799,13580.68019,34955.81757,19592.51818,42480.03997
ENSMUSG00000037621,Atoh8,0.000194356,-1.15496427,24.63669751,26.01521582,16.54515351,28.64467099,17.47676041,7.729444328,4.898644068,10.5830162,5.354902819,5.910161586
ENSMUSG00000073988,Ttpa,6.48E-05,-1.156522449,1650.814589,2084.00233,746.8979788,1685.148754,1968.867673,421.681492,278.6288816,605.2012435,491.0537457,749.3734556
ENSMUSG00000022579,Gpihbp1,0.000488192,-1.15765123,211.2694468,170.6541913,118.4514036,225.7644693,234.7194735,81.85866189,30.41664815,85.93523872,31.99902317,97.77419902
ENSMUSG00000023232,Serinc2,0.003171162,-1.157656287,12.08063805,12.38731522,23.89855507,20.04602127,13.09495656,4.338382528,1.959457627,14.72506737,4.283936571,3.405097809
ENSMUSG00000029135,Fosl2,8.28E-07,-1.160335485,375.1206681,252.0751935,138.0347155,341.3580458,241.4065187,106.0116641,57.7724508,92.0458926,67.59519384,83.48884627
ENSMUSG00000015396,Cd83,0.010661957,-1.162831043,146.2932459,65.18553668,46.68528394,153.7065844,85.61101781,59.52192253,10.59044317,39.51986033,18.5222265,35.08711596
ENSMUSG00000000386,Mx1,7.15E-05,-1.163842654,23.00943095,50.44137715,19.37325777,24.30967467,43.51769094,15.22083627,9.360409458,6.77858783,9.766822291,6.16383464
ENSMUSG00000040809,Chil3,0.011086859,-1.164623162,329.9773066,277.8988578,243.8090322,368.9623947,324.778586,168.1420946,23.9064795,159.6270885,76.31056685,157.3593687
ENSMUSG00000019997,Ccn2,0.002183615,-1.166444324,200.2727853,311.4664161,118.6606795,123.4374488,336.8765885,61.50148475,28.4121356,119.5568366,53.54902819,78.15103441
ENSMUSG00000024589,Nedd4l,0.000183932,-1.168772063,294.3960662,449.4041382,178.7055988,309.2693114,545.6992615,140.8670551,57.52856275,161.1165091,79.45044149,109.470738
