Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000026589,337.9557114,475.4522918,444.3190783,288.164957,396.4143447,338.43347,310.8384346,307.939927,357.7075083,382.5455721
ENSMUSG00000026592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026594,263.76098,284.799839,184.4542082,261.7117546,249.6815949,205.8225047,221.1195763,270.2651146,178.9372006,241.8741145
ENSMUSG00000026596,62.28363639,75.76020422,46.01492487,46.19074146,48.74947492,68.18591491,65.60334094,52.13643268,62.67924261,74.54221376
ENSMUSG00000026600,131.6422073,161.7772338,183.1965735,132.1921079,127.7983338,155.2169042,109.4853673,136.9545136,128.0135887,145.2705119
ENSMUSG00000026601,4.165952715,6.717606002,0,0.512295562,0,8.567111832,1.282614951,1.821138116,2.934764512,4.709063652
ENSMUSG00000026602,0,0,0,0,0,2.044622585,0,0,0,0
ENSMUSG00000026603,210.928452,185.3270424,219.7060562,220.6764343,219.7580503,170.7343559,166.6802138,184.4019327,171.8034458,187.5341467
ENSMUSG00000026604,24.03097011,27.97699295,34.15147008,19.56479053,22.76946902,19.21583907,18.07040415,18.8732633,25.19301389,15.0653927
ENSMUSG00000026605,191.4316888,430.5011763,267.1915765,303.1624553,454.0486664,278.9651549,612.2486872,321.0334072,371.8502059,350.6665703
ENSMUSG00000026608,115.6042995,84.19033644,99.95855726,86.08452027,97.24459479,103.6473555,121.5065927,112.1040158,102.5611939,128.0662213
ENSMUSG00000026609,1.098239823,0,0.249037908,0.259348543,0,0,0,0.501168255,0.144692375,0.225518469
ENSMUSG00000026610,23.77439311,7.53200647,22.15600238,4.345094665,37.98266034,5.797083246,3.918915255,41.91031478,24.15292155,7.576065272
ENSMUSG00000026611,0,0,1.479118338,0,0.809708175,0.754551366,1.587230387,0.62150201,0.835545155,0
ENSMUSG00000026614,595.8846011,539.0080192,783.4002546,548.3439188,444.5427585,942.6429494,1468.030071,853.7544588,1142.229409,923.4208735
ENSMUSG00000026615,1197.502892,1253.529013,1194.002965,1088.847718,1201.458393,1074.600742,1223.881534,1062.920415,1122.528726,1184.042616
ENSMUSG00000026616,13.39577592,4.80806038,0,0.98585838,0.158781987,6.817577354,1.012129378,0.530149982,2.42909064,3.635016949
ENSMUSG00000026617,116.486608,138.0312185,482.3247088,133.2288413,131.7197002,102.8114732,91.14684714,105.1870501,100.8654677,123.4866425
ENSMUSG00000026618,442.2240682,372.4252871,593.833935,432.3297698,384.6099269,444.6935944,460.9893902,385.7983073,473.8671472,488.7577679
ENSMUSG00000026620,40.93813761,35.69235577,34.30488951,48.12950652,46.95087776,43.47431763,27.82297619,23.81497466,21.54794506,29.36447264
ENSMUSG00000026621,2178.921321,3092.400465,1230.412914,2377.964719,3468.055262,863.1326048,562.7478752,1122.220626,999.813666,1132.415726
ENSMUSG00000026622,78.31151821,99.34533589,81.09947903,62.41521244,95.9562568,114.3219717,150.7983627,101.8019363,143.0956569,104.5284724
ENSMUSG00000026623,169.4523219,120.560353,145.1092491,145.5095187,108.6645035,121.8421903,92.45079173,121.5381111,111.9535747,136.7772165
ENSMUSG00000026626,321.5093689,279.2608354,313.7014504,316.6566517,245.2611736,326.8087672,273.5596746,310.3739391,308.6024659,285.2782733
ENSMUSG00000026627,101.0380637,57.94298069,114.8968994,79.25025642,54.76051595,114.9754844,96.01342374,104.3891782,94.24628962,98.236785
